["Company", "Bean Origin or Bar Name", "REF", "Review Date", "Cocoa Percent", "Company Location", "Rating", "Bean Type", "Country of Origin"]
["A. Morin", "Agua Grande", "1876", "2016", "63%", "France", "3.75", "Â\xa0", "Sao Tome"]
["A. Morin", "Kpime", "1676", "2015", "70%", "France", "2.75", "Â\xa0", "Togo"]
["A. Morin", "Atsane", "1676", "2015", "70%", "France", "3", "Â\xa0", "Togo"]
["A. Morin", "Akata", "1680", "2015", "70%", "France", "3.5", "Â\xa0", "Togo"]
["Acalli", "Chulucanas, El Platanal", "1462", "2015", "70%", "U.S.A.", "3.75", "Â\xa0", "Peru"]
["Acalli", "Tumbes, Norandino", "1470", "2015", "70%", "U.S.A.", "3.75", "Criollo", "Peru"]
["Adi", "Vanua Levu", "705", "2011", "60%", "Fiji", "2.75", "Trinitario", "Fiji"]
["Adi", "Vanua Levu, Toto-A", "705", "2011", "80%", "Fiji", "3.25", "Trinitario", "Fiji"]
["Adi", "Vanua Levu", "705", "2011", "88%", "Fiji", "3.5", "Trinitario", "Fiji"]
["Adi", "Vanua Levu, Ami-Ami-CA", "705", "2011", "72%", "Fiji", "3.5", "Trinitario", "Fiji"]
["Aequare (Gianduja)", "Los Rios, Quevedo, Arriba", "370", "2009", "55%", "Ecuador", "2.75", "Forastero (Arriba)", "Ecuador"]
["Aequare (Gianduja)", "Los Rios, Quevedo, Arriba", "370", "2009", "70%", "Ecuador", "3", "Forastero (Arriba)", "Ecuador"]
["Ah Cacao", "Tabasco", "316", "2009", "70%", "Mexico", "3", "Criollo", "Mexico"]
["Akesson"s (Pralus)", "Bali (west), Sukrama Family, Melaya area", "636", "2011", "75%", "Switzerland", "3.75", "Trinitario", "Indonesia"]
["Akesson"s (Pralus)", "Madagascar, Ambolikapiky P.", "502", "2010", "75%", "Switzerland", "2.75", "Criollo", "Madagascar"]
["Akesson"s (Pralus)", "Monte Alegre, D. Badero", "508", "2010", "75%", "Switzerland", "2.75", "Forastero", "Brazil"]
["Alain Ducasse", "Trinite", "1215", "2014", "65%", "France", "2.75", "Trinitario", "Trinidad"]
["Alain Ducasse", "Vietnam", "1215", "2014", "75%", "France", "2.75", "Trinitario", "Vietnam"]
["Alain Ducasse", "Madagascar", "1215", "2014", "75%", "France", "3", "Trinitario", "Madagascar"]
